,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
24,TC212402,Joshua,1282,A,2,2124-09-30 06:00:00,923.72,-55.92,22.89,2124-09-30 06:00:00,2124-09-23 00:00:00,923.72,-55.92,22.89,2124-09-19 18:00:00,1012.25,-13.08,8.38,2124-10-08 00:00:00,978.24,-11.25,59.22,1006.78,-23.16,11.03,2124-10-02 00:00:00,924.02,-53.05,25.97,2124-10-07 00:00:00,988.26,-27.32,49.92
25,TC212503,Luca,1340,A,2,2125-11-13 12:00:00,976.15,-52.54,22.23,2125-11-13 12:00:00,2125-11-07 12:00:00,976.15,-52.54,22.23,2125-11-07 12:00:00,1001.58,-82.19,16.83,2125-11-15 18:00:00,1002.79,-43.53,25.89,1001.58,-82.19,16.83,2125-11-15 18:00:00,1002.79,-43.53,25.89,2125-11-15 18:00:00,1002.79,-43.53,25.89
26,TC212604,Ollie,1367,A,2,2126-05-12 00:00:00,973.58,-64.29,35.38,2126-05-12 00:00:00,2126-05-08 18:00:00,973.58,-64.29,35.38,2126-05-07 18:00:00,1003.14,-87.48,26.63,2126-05-17 18:00:00,1012.81,-17.25,39.5,992.73,-85.12,30.5,2126-05-16 00:00:00,1002.2,-28.33,36.35,2126-05-16 06:00:00,1003.64,-25.6,36.84
27,TC212702,Stefan,1403,A,2,2127-04-16 06:00:00,965.12,-72.63,37.31,2127-04-16 06:00:00,2127-04-14 18:00:00,965.12,-72.63,37.31,2127-04-12 12:00:00,1004.72,-78.68,24.34,2127-04-25 12:00:00,1012.64,-45.25,50.75,977.28,-73.25,31.94,2127-04-21 06:00:00,986.63,-62.16,36.71,2127-04-22 18:00:00,988.94,-64.29,42.26
28,TC212704,Tess,1410,A,2,2127-06-17 00:00:00,967.5,-28.85,52.47,2127-06-14 12:00:00,2127-06-11 00:00:00,992.25,-57.07,39.86,2127-06-11 00:00:00,1008.62,-73.94,34.32,2127-06-18 00:00:00,974.38,-19.59,58.16,1008.62,-73.94,34.32,2127-06-14 18:00:00,990.71,-53.68,40.72,2127-06-15 18:00:00,988.96,-38.11,44.55
29,TC212806,Emiliano,1480,A,2,2128-10-26 00:00:00,944.36,-30.23,57.21,2128-10-19 00:00:00,2128-10-12 06:00:00,985.11,-83.13,18.1,2128-10-12 06:00:00,1008.21,-84.62,16.64,2128-10-26 06:00:00,945.48,-26.54,59.43,1008.21,-84.62,16.64,2128-10-19 12:00:00,985.79,-81.64,18.65,2128-10-25 12:00:00,950.22,-34.1,53.1
30,TC212905,Jessica,1528,A,2,2129-10-28 12:00:00,963.18,-58.26,42.76,2129-10-28 00:00:00,2129-10-22 00:00:00,967.11,-62.06,40.26,2129-10-22 00:00:00,1002.98,-57.37,38.42,2129-10-30 06:00:00,1011.99,-32.68,48.45,1002.98,-57.37,38.42,2129-10-28 06:00:00,963.38,-60.53,41.82,2129-10-29 06:00:00,984.38,-48.02,46.75
31,TC213003,Manfred,1564,A,2,2130-09-26 06:00:00,971.08,-74.07,29.52,2130-09-26 06:00:00,2130-09-17 18:00:00,971.08,-74.07,29.52,2130-09-17 12:00:00,1008.28,-38.15,13.68,2130-09-30 18:00:00,981.8,-58.94,55.91,1008.71,-39.32,13.25,2130-09-28 18:00:00,1001.79,-73.39,41.08,2130-09-29 00:00:00,998.55,-70.49,43.27
32,TC213105,Yan,0082,B,2,2131-07-05 06:00:00,981.88,-61.69,42.81,2131-07-05 06:00:00,2131-07-02 00:00:00,981.88,-61.69,42.81,2131-07-02 00:00:00,1012.93,-78.95,34.0,2131-07-07 06:00:00,997.48,-29.25,54.25,1012.93,-78.95,34.0,2131-07-05 12:00:00,986.35,-58.24,44.46,2131-07-06 06:00:00,996.17,-45.0,50.75
33,TC213409,Oscar,0242,B,2,2134-09-18 06:00:00,923.37,-79.63,26.44,2134-09-18 06:00:00,2134-09-14 00:00:00,923.37,-79.63,26.44,2134-09-13 12:00:00,1009.42,-48.95,14.94,2134-09-22 12:00:00,997.93,-64.05,44.14,1012.22,-52.41,16.16,2134-09-20 06:00:00,956.11,-77.99,34.43,2134-09-22 00:00:00,991.81,-70.49,42.75
34,TC213603,Claudio,0338,B,2,2136-06-22 18:00:00,930.27,-63.58,33.09,2136-06-22 18:00:00,2136-06-20 12:00:00,930.27,-63.58,33.09,2136-06-19 12:00:00,1000.39,-68.74,41.87,2136-06-24 18:00:00,996.82,-36.01,50.8,997.07,-72.17,36.57,2136-06-24 00:00:00,972.58,-46.73,40.88,2136-06-24 06:00:00,982.56,-42.37,43.82
35,TC213606,Ederson,0351,B,2,2136-09-30 00:00:00,942.75,-53.9,25.8,2136-09-30 00:00:00,2136-09-23 06:00:00,942.75,-53.9,25.8,2136-09-23 06:00:00,1006.42,-29.23,15.18,2136-10-04 00:00:00,992.91,-29.25,57.25,1006.42,-29.23,15.18,2136-10-01 12:00:00,957.06,-48.11,32.42,2136-10-03 18:00:00,984.42,-29.69,53.45
36,TC213607,Gwyneth,0352,B,2,2136-10-14 00:00:00,920.08,-76.35,29.82,2136-10-11 18:00:00,2136-10-03 18:00:00,932.41,-81.61,19.32,2136-10-03 18:00:00,1008.38,-82.05,13.98,2136-10-23 18:00:00,1013.0,-22.65,48.87,1008.38,-82.05,13.98,2136-10-13 06:00:00,930.46,-77.57,26.36,2136-10-21 18:00:00,987.64,-31.04,49.12
