,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
55,TC193004,Wendy,0046,B,2,1930-11-04 00:00:00,948.88,-91.58,20.7,1930-11-04 00:00:00,1930-10-29 06:00:00,948.88,-91.58,20.7,1930-10-29 06:00:00,1007.17,-82.96,19.14,1930-11-09 06:00:00,1007.87,-24.0,44.75,1007.17,-82.96,19.14,1930-11-05 12:00:00,954.74,-87.08,27.0,1930-11-06 12:00:00,992.74,-74.44,30.88
56,TC193105,Esther,0089,B,2,1931-09-24 00:00:00,913.33,-60.97,29.81,1931-09-24 00:00:00,1931-09-12 12:00:00,913.33,-60.97,29.81,1931-09-11 18:00:00,1006.33,-18.17,13.59,1931-10-01 00:00:00,970.46,-37.11,57.94,1004.28,-23.57,13.44,1931-09-27 12:00:00,953.76,-53.37,39.19,1931-09-30 18:00:00,970.25,-38.77,55.68
57,TC193205,Nathan,0133,B,2,1932-08-09 00:00:00,937.59,-71.89,30.96,1932-08-09 00:00:00,1932-07-31 06:00:00,937.59,-71.89,30.96,1932-07-31 06:00:00,1012.44,-39.55,16.66,1932-08-12 00:00:00,996.02,-36.25,54.0,1012.44,-39.55,16.66,1932-08-09 18:00:00,937.69,-68.53,35.77,1932-08-11 06:00:00,989.14,-55.91,49.81
58,TC193303,Wilson,0182,B,2,1933-06-08 12:00:00,963.85,-52.67,36.61,1933-06-08 12:00:00,1933-05-31 06:00:00,963.85,-52.67,36.61,1933-05-31 06:00:00,1007.01,-69.62,28.97,1933-06-10 18:00:00,1012.75,-34.5,50.5,1007.01,-69.62,28.97,1933-06-09 12:00:00,987.58,-46.5,41.73,1933-06-10 00:00:00,1002.57,-42.68,44.83
59,TC193306,Bella,0191,B,2,1933-08-31 18:00:00,919.77,-63.84,32.06,1933-08-31 18:00:00,1933-08-26 18:00:00,919.77,-63.84,32.06,1933-08-26 12:00:00,1010.7,-50.51,14.19,1933-09-09 12:00:00,973.73,-17.06,52.59,1009.69,-52.19,14.58,1933-09-02 00:00:00,944.63,-62.08,35.62,1933-09-09 12:00:00,973.73,-17.06,52.59
60,TC193406,Grace,0239,B,2,1934-09-09 06:00:00,930.07,-50.7,27.25,1934-09-09 06:00:00,1934-08-31 06:00:00,930.07,-50.7,27.25,1934-08-31 06:00:00,1003.82,-18.96,15.43,1934-09-15 18:00:00,980.3,-1.75,56.5,1003.82,-18.96,15.43,1934-09-11 12:00:00,951.4,-53.53,37.47,1934-09-15 00:00:00,971.99,-16.23,50.35
61,TC193503,Kevin,0267,B,2,1935-06-03 00:00:00,926.29,-83.44,26.25,1935-06-03 00:00:00,1935-05-27 18:00:00,926.29,-83.44,26.25,1935-05-27 18:00:00,1004.33,-86.52,20.72,1935-06-10 18:00:00,991.53,-1.5,50.25,1004.33,-86.52,20.72,1935-06-04 12:00:00,955.13,-76.67,31.76,1935-06-09 00:00:00,986.18,-36.37,45.4
62,TC193510,Olivia,0288,B,2,1935-09-25 18:00:00,969.88,-58.33,31.37,1935-09-25 18:00:00,1935-09-19 00:00:00,969.88,-58.33,31.37,1935-09-19 00:00:00,1010.93,-43.73,24.42,1935-09-29 18:00:00,1000.46,-48.75,49.5,1010.93,-43.73,24.42,1935-09-29 00:00:00,998.3,-56.5,41.75,1935-09-29 06:00:00,999.23,-55.0,44.0
63,TC193607,Benjamin,0335,B,2,1936-09-07 06:00:00,936.34,-56.0,29.29,1936-09-07 06:00:00,1936-09-01 06:00:00,936.34,-56.0,29.29,1936-09-01 06:00:00,1004.8,-16.59,11.9,1936-09-10 12:00:00,996.65,-41.07,53.63,1004.8,-16.59,11.9,1936-09-09 12:00:00,956.8,-56.62,42.1,1936-09-10 06:00:00,994.07,-46.11,50.49
64,TC193611,Emily,0344,B,2,1936-10-14 12:00:00,930.56,-71.98,28.13,1936-10-14 12:00:00,1936-10-10 00:00:00,930.56,-71.98,28.13,1936-10-10 00:00:00,1008.48,-69.67,23.28,1936-10-20 18:00:00,980.17,-62.5,51.75,1008.48,-69.67,23.28,1936-10-19 06:00:00,995.34,-72.7,38.9,1936-10-19 06:00:00,995.34,-72.7,38.9
