,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Trop Begin Time,Final Time,Final SLP,Final Lon,Final Lat
70,TC206709,Gianluigi,C,2,2067-09-16 18:00:00,942.0,-33.53,39.52,2067-09-14 00:00:00,947.68,-52.05,29.16,2067-09-14 12:00:00,952.72,-50.22,30.99,2067-09-19 06:00:00,967.91,-18.58,57.81,2067-09-06 18:00:00,1007.34,-28.96,12.97,2067-09-07 12:00:00,2067-09-19 12:00:00,972.76,-18.69,58.39
71,TC206711,Ivy,C,2,2067-11-12 00:00:00,940.73,-35.1,56.04,2067-11-08 06:00:00,957.25,-55.31,26.6,2067-11-09 12:00:00,952.34,-53.05,30.4,2067-11-12 06:00:00,944.89,-29.49,58.74,2067-11-02 12:00:00,1011.9,-48.97,26.57,2067-11-03 00:00:00,2067-11-12 06:00:00,944.89,-29.49,58.74
72,TC206802,Katie,C,2,2068-09-16 12:00:00,914.37,-68.28,32.51,2068-09-16 12:00:00,914.37,-68.28,32.51,2068-09-17 06:00:00,921.74,-65.46,37.21,2068-09-18 18:00:00,955.68,-47.46,49.98,2068-09-04 06:00:00,1005.7,-33.41,10.28,2068-09-04 06:00:00,2068-09-19 12:00:00,965.25,-38.71,56.07
73,TC207002,Beatrice,C,2,2070-05-31 06:00:00,976.92,-48.57,39.5,2070-05-31 00:00:00,979.35,-49.22,37.67,2070-05-31 06:00:00,976.92,-48.57,39.5,2070-06-01 06:00:00,990.56,-45.73,46.79,2070-05-26 18:00:00,1004.6,-71.25,23.16,2070-05-26 18:00:00,2070-06-01 06:00:00,990.56,-45.73,46.79
74,TC207003,Colin,C,2,2070-06-07 00:00:00,988.12,-81.12,31.79,2070-06-07 00:00:00,988.12,-81.12,31.79,2070-06-10 00:00:00,1003.8,-67.7,46.28,2070-06-11 00:00:00,1002.81,-62.27,49.26,2070-06-02 12:00:00,1004.44,-76.81,29.49,2070-06-02 12:00:00,2070-06-11 00:00:00,1002.81,-62.27,49.26
75,TC207008,Flavia,C,2,2070-11-01 18:00:00,944.71,-48.96,39.37,2070-11-01 18:00:00,944.71,-48.96,39.37,2070-11-02 12:00:00,963.08,-47.67,43.95,2070-11-03 06:00:00,975.92,-39.69,52.21,2070-10-26 18:00:00,1014.32,-42.53,33.94,2070-10-26 18:00:00,2070-11-03 06:00:00,975.92,-39.69,52.21
76,TC207510,Tiffany,C,2,2075-09-30 06:00:00,941.03,-34.96,51.94,2075-09-30 06:00:00,941.03,-34.96,51.94,2075-10-01 12:00:00,960.22,-33.15,57.06,2075-10-02 00:00:00,965.22,-32.8,57.08,2075-09-11 06:00:00,1009.85,-12.14,10.57,2075-09-13 12:00:00,2075-10-02 12:00:00,970.39,-29.99,57.41
77,TC207513,Bonnie,C,2,2075-11-22 12:00:00,971.56,-37.34,36.85,2075-11-22 12:00:00,971.56,-37.34,36.85,2075-11-24 18:00:00,994.32,-31.04,49.12,2075-11-25 00:00:00,1000.08,-27.68,50.73,2075-11-20 06:00:00,995.63,-34.88,28.92,2075-11-20 06:00:00,2075-11-25 18:00:00,1007.05,-18.5,55.25
78,TC207606,Frances,C,2,2076-10-18 00:00:00,965.18,-15.0,56.5,2076-10-15 18:00:00,991.5,-36.53,36.65,2076-10-16 18:00:00,992.26,-32.65,43.22,2076-10-17 12:00:00,978.1,-24.25,50.25,2076-10-11 12:00:00,1006.56,-37.6,26.15,2076-10-11 12:00:00,2076-10-18 00:00:00,965.18,-15.0,56.5
79,TC207607,Hubert,C,2,2076-10-18 12:00:00,933.05,-66.8,38.8,2076-10-17 06:00:00,966.05,-70.67,31.99,2076-10-17 12:00:00,957.96,-70.2,32.69,2076-10-21 18:00:00,949.99,-19.87,59.41,2076-10-13 00:00:00,1009.72,-76.79,29.27,2076-10-13 00:00:00,2076-10-21 18:00:00,949.99,-19.87,59.41
80,TC207805,Shannon,C,2,2078-10-10 12:00:00,986.56,-66.85,34.65,2078-10-08 12:00:00,995.61,-70.59,26.29,2078-10-09 00:00:00,993.78,-70.29,28.55,2078-10-11 18:00:00,996.17,-59.51,38.81,2078-10-05 06:00:00,1007.66,-68.14,20.57,2078-10-05 06:00:00,2078-10-12 18:00:00,1001.13,-51.0,48.0
81,TC207902,Wendy,C,2,2079-09-01 00:00:00,899.1,-53.18,27.82,2079-09-01 00:00:00,899.1,-53.18,27.82,2079-09-02 12:00:00,916.81,-53.54,34.37,2079-09-04 12:00:00,956.7,-38.07,52.95,2079-08-27 12:00:00,1000.17,-30.24,14.55,2079-08-27 12:00:00,2079-09-04 18:00:00,959.6,-37.63,55.1
82,TC207904,Bryan,C,2,2079-10-06 18:00:00,930.7,-52.25,40.65,2079-10-05 18:00:00,966.05,-62.65,35.98,2079-10-06 00:00:00,960.48,-60.68,36.54,2079-10-08 06:00:00,980.62,-52.34,41.21,2079-10-01 00:00:00,1012.9,-73.0,31.44,2079-10-01 00:00:00,2079-10-25 00:00:00,975.47,-47.75,53.92
83,TC208006,Helena,C,2,2080-09-27 18:00:00,919.42,-51.79,40.0,2080-09-26 12:00:00,929.73,-66.28,31.61,2080-09-26 18:00:00,933.81,-65.18,32.87,2080-09-29 06:00:00,942.66,-26.45,56.78,2080-09-16 12:00:00,1009.25,-14.95,11.87,2080-09-17 06:00:00,2080-09-29 06:00:00,942.66,-26.45,56.78
84,TC208007,John,C,2,2080-10-18 12:00:00,941.09,-52.22,57.36,2080-10-16 00:00:00,965.95,-68.73,38.16,2080-10-16 06:00:00,958.11,-67.94,38.85,2080-10-18 06:00:00,948.82,-48.03,54.62,2080-10-09 06:00:00,1007.24,-62.04,32.76,2080-10-09 06:00:00,2080-10-18 18:00:00,943.77,-54.14,56.93
85,TC208010,Lomy,C,2,2080-11-23 06:00:00,990.58,-36.15,36.42,2080-11-23 06:00:00,990.58,-36.15,36.42,2080-11-25 18:00:00,994.93,-41.65,48.03,2080-11-26 00:00:00,999.18,-37.82,51.26,2080-11-20 12:00:00,1007.56,-40.0,27.35,2080-11-20 12:00:00,2080-11-26 06:00:00,999.49,-32.98,53.88
86,TC208105,Nathan,C,2,2081-09-28 12:00:00,988.31,-39.44,39.09,2081-09-26 12:00:00,989.27,-59.08,31.01,2081-09-27 06:00:00,994.39,-54.38,33.41,2081-09-29 12:00:00,1007.67,-27.75,43.25,2081-09-21 00:00:00,1000.22,-51.54,18.27,2081-09-21 00:00:00,2081-09-30 00:00:00,1013.56,-22.25,47.25
87,TC208209,Grace,C,2,2082-08-28 00:00:00,908.31,-76.32,28.89,2082-08-28 00:00:00,908.31,-76.32,28.89,2082-08-29 00:00:00,912.98,-73.21,32.23,2082-09-01 00:00:00,978.65,-51.49,47.13,2082-08-22 18:00:00,1006.9,-51.19,13.86,2082-08-23 18:00:00,2082-09-02 00:00:00,991.38,-35.75,50.0
88,TC208211,Jana,C,2,2082-09-19 12:00:00,994.99,-77.36,32.23,2082-09-19 12:00:00,994.99,-77.36,32.23,2082-09-21 12:00:00,1000.53,-76.99,39.06,2082-09-22 00:00:00,1001.89,-72.8,40.48,2082-09-17 12:00:00,1011.17,-77.62,30.12,2082-09-17 12:00:00,2082-09-22 12:00:00,998.11,-68.25,43.75
89,TC208303,Manuel,C,2,2083-09-19 18:00:00,938.39,-63.38,33.2,2083-09-19 18:00:00,938.39,-63.38,33.2,2083-09-23 00:00:00,971.84,-44.62,46.84,2083-09-23 12:00:00,985.97,-35.07,51.23,2083-09-17 18:00:00,1000.96,-61.99,24.03,2083-09-17 18:00:00,2083-09-24 00:00:00,995.37,-22.75,54.25
90,TC208304,Olivia,C,2,2083-10-09 12:00:00,925.58,-34.93,40.35,2083-10-04 06:00:00,948.4,-55.69,20.92,2083-10-05 12:00:00,949.31,-52.54,22.23,2083-10-10 18:00:00,937.72,-38.89,56.76,2083-09-25 12:00:00,1008.08,-24.85,12.59,2083-09-26 00:00:00,2083-10-11 06:00:00,952.32,-38.29,58.91
91,TC208503,Benjamin,C,2,2085-08-17 00:00:00,931.17,-66.8,38.8,2085-08-17 00:00:00,931.17,-66.8,38.8,2085-08-18 06:00:00,975.75,-62.92,46.64,2085-08-19 06:00:00,990.69,-59.29,50.35,2085-08-08 00:00:00,1009.8,-38.44,13.71,2085-08-08 00:00:00,2085-08-19 06:00:00,990.69,-59.29,50.35
92,TC208504,Carmen,C,2,2085-08-28 12:00:00,934.12,-39.61,53.84,2085-08-24 18:00:00,993.99,-59.82,30.64,2085-08-25 00:00:00,989.41,-59.87,33.22,2085-08-29 12:00:00,958.33,-39.24,58.82,2085-08-17 12:00:00,1006.2,-32.31,13.53,2085-08-18 00:00:00,2085-08-29 18:00:00,966.21,-38.29,58.91
93,TC208507,Geoffrey,C,2,2085-09-29 06:00:00,931.18,-50.51,29.82,2085-09-29 06:00:00,931.18,-50.51,29.82,2085-09-30 18:00:00,963.87,-43.65,39.25,2085-10-01 18:00:00,991.71,-30.51,46.28,2085-09-19 00:00:00,1006.32,-21.58,12.23,2085-09-19 00:00:00,2085-10-02 06:00:00,1003.71,-20.5,49.0
94,TC208705,Mary,C,2,2087-09-20 18:00:00,928.18,-70.49,24.8,2087-09-20 18:00:00,928.18,-70.49,24.8,2087-09-23 12:00:00,948.48,-73.9,38.16,2087-09-24 18:00:00,981.42,-63.0,44.61,2087-09-15 06:00:00,1007.85,-55.41,16.82,2087-09-15 06:00:00,2087-09-28 00:00:00,997.69,-0.5,54.0
95,TC208708,Stefan,C,2,2087-09-29 00:00:00,931.19,-52.84,30.49,2087-09-29 00:00:00,931.19,-52.84,30.49,2087-10-03 00:00:00,959.25,-55.33,36.37,2087-10-05 18:00:00,961.06,-30.26,50.54,2087-09-22 06:00:00,1006.07,-30.13,12.48,2087-09-22 06:00:00,2087-10-07 18:00:00,993.23,-3.0,53.25
96,TC209011,Oxlip,C,2,2090-11-08 18:00:00,962.96,-30.03,50.08,2090-11-05 18:00:00,997.26,-57.01,36.87,2090-11-06 00:00:00,994.31,-55.4,37.56,2090-11-09 12:00:00,970.2,-20.27,49.55,2090-11-02 06:00:00,1009.26,-46.39,23.33,2090-11-02 06:00:00,2090-11-10 06:00:00,982.09,-6.25,52.5
97,TC209104,Sofiee,C,2,2091-08-25 00:00:00,924.05,-62.11,24.21,2091-08-25 00:00:00,924.05,-62.11,24.21,2091-08-28 06:00:00,936.79,-61.82,38.62,2091-08-30 00:00:00,968.57,-52.28,51.88,2091-08-16 18:00:00,1011.57,-23.42,9.95,2091-08-18 12:00:00,2091-08-30 12:00:00,976.27,-50.66,54.62
98,TC209105,Victor,C,2,2091-09-02 06:00:00,943.51,-48.25,37.79,2091-09-02 06:00:00,943.51,-48.25,37.79,2091-09-06 00:00:00,996.84,-27.22,48.98,2091-09-06 12:00:00,1005.89,-24.44,51.36,2091-08-20 18:00:00,1005.46,-12.02,9.12,2091-08-22 12:00:00,2091-09-06 12:00:00,1005.89,-24.44,51.36
99,TC209111,Angela,C,2,2091-11-29 18:00:00,969.67,-51.73,49.88,2091-11-28 00:00:00,989.15,-51.36,44.42,2091-11-28 06:00:00,987.61,-49.98,47.78,2091-11-29 00:00:00,988.95,-45.15,54.75,2091-11-21 06:00:00,1005.47,-49.85,29.27,2091-11-22 12:00:00,2091-11-30 00:00:00,974.51,-49.48,52.36
100,TC209201,Bernardo,C,2,2092-09-29 00:00:00,972.61,-47.05,57.79,2092-09-26 12:00:00,979.84,-49.07,35.3,2092-09-27 06:00:00,989.38,-47.11,40.54,2092-09-28 18:00:00,976.48,-46.42,55.68,2092-09-17 00:00:00,1005.59,-10.33,10.93,2092-09-18 00:00:00,2092-09-29 12:00:00,978.81,-46.82,58.57
