,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Trop Begin Time,Final Time,Final SLP,Final Lon,Final Lat
49,TC204305,Noelle,B,2,2043-06-18 12:00:00,989.9,-80.84,26.71,2043-06-18 12:00:00,989.9,-80.84,26.71,2043-06-22 06:00:00,997.62,-67.78,42.34,2043-06-23 06:00:00,999.13,-59.9,45.04,2043-06-13 18:00:00,1012.29,-87.38,17.44,2043-06-13 18:00:00,2043-06-24 18:00:00,1007.24,-39.75,41.25
50,TC204307,Shannon,B,2,2043-08-27 12:00:00,933.64,-58.85,31.74,2043-08-27 12:00:00,933.64,-58.85,31.74,2043-08-30 18:00:00,949.08,-52.81,41.86,2043-08-31 18:00:00,957.76,-40.66,54.01,2043-08-16 12:00:00,1012.0,-26.89,9.98,2043-08-17 06:00:00,2043-08-31 18:00:00,957.76,-40.66,54.01
51,TC204309,Wendy,B,2,2043-10-06 06:00:00,989.66,-36.83,46.24,2043-10-05 12:00:00,998.45,-40.29,39.62,2043-10-05 18:00:00,994.08,-38.72,41.7,2043-10-06 06:00:00,989.66,-36.83,46.24,2043-09-30 18:00:00,1013.0,-38.81,33.88,2043-09-30 18:00:00,2043-10-07 00:00:00,998.32,-29.75,56.5
52,TC204501,Helena,B,2,2045-04-27 18:00:00,991.96,-62.76,33.76,2045-04-25 00:00:00,995.37,-86.61,28.45,2045-04-26 18:00:00,997.61,-80.14,27.95,2045-04-26 18:00:00,997.61,-80.14,27.95,2045-04-23 18:00:00,1007.68,-79.97,31.97,2045-04-23 18:00:00,2045-04-27 18:00:00,991.96,-62.76,33.76
53,TC204505,Lomy,B,2,2045-10-07 18:00:00,926.76,-55.03,33.97,2045-10-07 18:00:00,926.76,-55.03,33.97,2045-10-09 00:00:00,949.91,-52.65,42.73,2045-10-09 18:00:00,986.37,-42.7,51.71,2045-10-03 12:00:00,1007.98,-39.01,19.39,2045-10-03 18:00:00,2045-10-09 18:00:00,986.37,-42.7,51.71
54,TC204702,Aidan,B,2,2047-08-27 18:00:00,909.95,-74.71,28.14,2047-08-27 18:00:00,909.95,-74.71,28.14,2047-08-29 18:00:00,925.62,-73.31,34.47,2047-09-01 12:00:00,999.27,-69.75,47.75,2047-08-16 18:00:00,1007.74,-19.12,9.99,2047-08-18 12:00:00,2047-09-03 06:00:00,991.08,-54.75,54.5
55,TC204802,Carson,B,2,2048-09-08 18:00:00,934.13,-38.71,47.54,2048-09-06 06:00:00,946.57,-59.92,29.72,2048-09-07 00:00:00,947.85,-57.89,33.3,2048-09-09 12:00:00,956.47,-30.48,57.02,2048-08-29 12:00:00,1008.09,-20.48,13.94,2048-08-29 12:00:00,2048-09-09 12:00:00,956.47,-30.48,57.02
56,TC205002,Olivia,B,2,2050-09-13 12:00:00,945.43,-43.63,38.69,2050-09-12 00:00:00,948.71,-56.13,34.1,2050-09-12 18:00:00,952.02,-52.21,36.34,2050-09-15 12:00:00,1002.48,-14.53,39.93,2050-09-03 12:00:00,1005.94,-16.78,12.92,2050-09-04 18:00:00,2050-09-16 12:00:00,1015.32,-9.5,36.5
57,TC205115,Joshua,B,2,2051-11-09 12:00:00,926.01,-15.01,58.52,2051-11-03 00:00:00,948.75,-77.42,27.42,2051-11-03 06:00:00,942.88,-75.71,28.13,2051-11-08 06:00:00,968.88,-32.14,45.07,2051-10-24 12:00:00,1009.12,-77.59,10.91,2051-10-24 18:00:00,2051-11-10 06:00:00,935.66,-16.36,58.6
58,TC205605,Ian,B,2,2056-08-19 00:00:00,922.71,-80.75,31.37,2056-08-19 00:00:00,922.71,-80.75,31.37,2056-08-24 12:00:00,999.13,-72.69,42.02,2056-08-24 18:00:00,997.93,-69.59,44.16,2056-08-05 06:00:00,1011.19,-20.6,12.45,2056-08-07 12:00:00,2056-08-26 12:00:00,988.17,-37.0,54.75
59,TC205802,Manfred,B,2,2058-08-24 06:00:00,931.9,-61.5,40.91,2058-08-23 18:00:00,938.15,-63.57,37.53,2058-08-24 00:00:00,933.86,-62.33,39.26,2058-08-25 06:00:00,955.14,-50.87,49.68,2058-08-10 18:00:00,1004.12,-21.37,11.36,2058-08-11 06:00:00,2058-08-25 12:00:00,960.57,-46.73,53.17
60,TC205803,Oxlip,B,2,2058-09-15 18:00:00,947.75,-50.9,37.06,2058-09-15 18:00:00,947.75,-50.9,37.06,2058-09-17 00:00:00,972.27,-41.6,48.45,2058-09-17 06:00:00,979.2,-36.71,51.41,2058-09-10 18:00:00,1011.02,-46.07,18.58,2058-09-10 18:00:00,2058-09-17 12:00:00,986.4,-30.39,53.7
61,TC205906,Bernardo,B,2,2059-09-08 06:00:00,960.17,-51.65,23.48,2059-09-08 06:00:00,960.17,-51.65,23.48,2059-09-12 12:00:00,975.38,-48.52,36.53,2059-09-14 06:00:00,1002.57,-30.25,54.5,2059-08-30 00:00:00,1007.28,-25.52,10.36,2059-08-30 00:00:00,2059-09-14 06:00:00,1002.57,-30.25,54.5
62,TC206206,Brenda,C,2,2062-09-06 06:00:00,954.9,-57.6,36.23,2062-09-06 06:00:00,954.9,-57.6,36.23,2062-09-07 00:00:00,966.73,-54.97,37.36,2062-09-10 06:00:00,986.78,-21.61,52.4,2062-08-25 00:00:00,1004.72,-15.35,11.9,2062-08-26 18:00:00,2062-09-10 18:00:00,998.72,-12.27,55.25
63,TC206207,Claudio,C,2,2062-09-09 12:00:00,933.84,-60.18,26.74,2062-09-09 12:00:00,933.84,-60.18,26.74,2062-09-12 00:00:00,950.43,-59.45,33.42,2062-09-16 18:00:00,987.65,-26.03,50.82,2062-09-01 12:00:00,1007.05,-24.11,14.71,2062-09-03 18:00:00,2062-09-17 06:00:00,997.21,-18.39,56.67
64,TC206211,Gwyneth,C,2,2062-11-15 18:00:00,963.91,-79.08,12.5,2062-11-15 18:00:00,963.91,-79.08,12.5,2062-11-18 06:00:00,984.38,-74.46,14.24,2062-11-22 00:00:00,1006.54,-65.75,21.75,2062-11-12 18:00:00,1008.12,-80.18,10.98,2062-11-12 18:00:00,2062-11-24 06:00:00,1013.06,-63.0,25.25
65,TC206302,Isaac,C,2,2063-08-29 06:00:00,992.67,-15.25,54.25,2063-08-24 18:00:00,995.12,-53.11,37.27,2063-08-26 18:00:00,999.1,-45.81,44.04,2063-08-27 18:00:00,1003.28,-32.8,48.05,2063-08-19 00:00:00,1011.24,-51.38,19.64,2063-08-19 00:00:00,2063-08-29 06:00:00,992.67,-15.25,54.25
66,TC206402,Kelechi,C,2,2064-10-02 00:00:00,955.26,-46.28,39.67,2064-10-01 06:00:00,963.93,-48.64,36.27,2064-10-01 18:00:00,962.01,-47.17,38.94,2064-10-04 06:00:00,994.48,-14.41,47.59,2064-09-27 06:00:00,1003.47,-49.27,34.42,2064-09-27 06:00:00,2064-10-05 12:00:00,1017.28,1.75,46.0
67,TC206607,Seldoen,C,2,2066-09-12 12:00:00,928.01,-65.08,29.6,2066-09-12 12:00:00,928.01,-65.08,29.6,2066-09-15 12:00:00,938.36,-56.21,39.75,2066-09-17 12:00:00,978.32,-34.16,49.64,2066-09-01 18:00:00,1008.25,-25.6,11.86,2066-09-02 00:00:00,2066-09-18 18:00:00,984.97,-22.12,57.73
68,TC206706,Dylan,C,2,2067-08-26 12:00:00,907.48,-74.72,22.63,2067-08-26 12:00:00,907.48,-74.72,22.63,2067-08-30 06:00:00,983.43,-78.4,31.9,2067-09-01 18:00:00,1003.28,-75.88,35.63,2067-08-18 00:00:00,1009.3,-29.44,11.0,2067-08-18 00:00:00,2067-09-02 06:00:00,993.57,-70.72,37.94
69,TC206707,Emmelyn,C,2,2067-09-02 00:00:00,950.33,-51.71,41.43,2067-09-02 00:00:00,950.33,-51.71,41.43,2067-09-03 06:00:00,980.19,-44.66,48.55,2067-09-03 18:00:00,987.66,-39.84,52.9,2067-08-22 06:00:00,1008.36,-29.94,12.56,2067-08-23 00:00:00,2067-09-04 00:00:00,987.42,-35.5,56.0
