,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
32,TC211605,Nathan,A,2,2116-11-25 06:00:00,978.89,-59.9,37.53,2116-11-25 06:00:00,2116-11-23 00:00:00,978.89,-59.9,37.53,2116-11-21 18:00:00,992.69,-61.82,38.62,2116-11-29 06:00:00,998.36,-43.71,30.04,993.23,-58.81,38.36,2116-11-27 06:00:00,990.06,-59.01,32.97,2116-11-28 00:00:00,994.9,-53.74,31.62
33,TC211606,Rosalina,A,2,2116-11-30 18:00:00,944.73,-31.01,37.59,2116-11-30 18:00:00,2116-11-26 18:00:00,944.73,-31.01,37.59,2116-11-26 18:00:00,979.74,-40.6,39.33,2116-12-06 18:00:00,978.24,11.5,53.75,979.74,-40.6,39.33,2116-12-04 18:00:00,976.27,-20.89,39.81,2116-12-06 00:00:00,977.52,-2.56,46.87
34,TC211706,Tatiana,A,2,2117-02-19 06:00:00,953.71,-39.12,39.92,2117-02-19 06:00:00,2117-02-18 18:00:00,953.71,-39.12,39.92,2117-02-18 18:00:00,954.85,-40.25,38.12,2117-02-25 06:00:00,986.88,11.0,44.0,954.85,-40.25,38.12,2117-02-21 06:00:00,972.15,-39.24,34.62,2117-02-22 12:00:00,990.34,-29.0,32.25
35,TC211707,Wilson,A,2,2117-03-04 06:00:00,967.34,-35.89,36.81,2117-03-02 00:00:00,2117-03-01 18:00:00,971.42,-56.67,35.32,2117-03-01 18:00:00,972.17,-57.38,36.33,2117-03-07 00:00:00,986.26,11.25,53.0,972.17,-57.38,36.33,2117-03-03 18:00:00,974.29,-41.4,33.96,2117-03-05 12:00:00,973.71,-17.37,41.96
36,TC211802,Bella,A,2,2118-05-18 18:00:00,967.3,-69.07,38.89,2118-05-18 00:00:00,2118-05-13 00:00:00,991.42,-80.53,34.25,2118-05-13 00:00:00,1012.86,-89.06,28.39,2118-05-20 00:00:00,980.8,-53.14,56.94,1012.86,-89.06,28.39,2118-05-18 06:00:00,985.92,-77.02,35.38,2118-05-19 06:00:00,978.78,-60.84,46.62
37,TC211804,Dorcas,A,2,2118-08-14 12:00:00,872.72,-93.81,27.86,2118-08-14 12:00:00,2118-08-10 18:00:00,872.72,-93.81,27.86,2118-08-09 12:00:00,1009.71,-56.74,18.45,2118-08-20 06:00:00,986.11,-70.0,54.5,1002.23,-67.45,17.62,2118-08-16 18:00:00,996.93,-95.87,41.87,2118-08-19 00:00:00,995.75,-81.06,46.46
38,TC212004,Kevin,A,2,2120-09-04 18:00:00,974.96,-91.02,28.07,2120-09-04 18:00:00,2120-08-31 00:00:00,974.96,-91.02,28.07,2120-08-31 00:00:00,1005.09,-94.12,22.3,2120-09-09 18:00:00,1007.68,-67.0,44.75,1005.09,-94.12,22.3,2120-09-08 06:00:00,993.08,-77.4,41.04,2120-09-09 00:00:00,993.69,-70.75,46.0
39,TC212201,Shirley,A,2,2122-02-12 06:00:00,981.6,-29.66,39.24,2122-02-12 06:00:00,2122-02-04 06:00:00,981.6,-29.66,39.24,2122-02-03 00:00:00,1009.29,-39.79,33.67,2122-02-14 06:00:00,984.49,-6.75,42.0,1000.32,-36.11,37.9,2122-02-13 00:00:00,992.51,-24.99,37.98,2122-02-13 12:00:00,988.93,-18.77,38.14
40,TC212207,Alissa,A,2,2122-09-21 06:00:00,947.43,-52.12,40.47,2122-09-18 18:00:00,2122-09-15 18:00:00,982.65,-72.43,30.35,2122-09-15 18:00:00,1000.27,-67.39,24.93,2122-09-22 12:00:00,996.84,-37.88,53.17,1000.27,-67.39,24.93,2122-09-19 06:00:00,987.46,-70.58,31.53,2122-09-22 06:00:00,991.09,-41.63,50.24
41,TC212209,Carmen,A,2,2122-12-14 06:00:00,985.93,-43.05,34.43,2122-12-14 06:00:00,2122-12-14 06:00:00,985.93,-43.05,34.43,2122-12-12 18:00:00,1002.82,-51.77,28.68,2122-12-18 06:00:00,1013.0,-10.5,45.75,985.93,-43.05,34.43,2122-12-17 12:00:00,1005.11,-20.57,43.29,2122-12-17 18:00:00,1007.99,-17.5,44.0
42,TC212306,Geoffrey,A,2,2123-09-20 18:00:00,945.58,-55.27,40.35,2123-09-19 18:00:00,2123-09-15 18:00:00,945.64,-59.64,36.55,2123-09-15 18:00:00,1009.95,-53.61,30.15,2123-09-24 06:00:00,990.73,-22.02,50.32,1009.95,-53.61,30.15,2123-09-20 18:00:00,945.58,-55.27,40.35,2123-09-24 00:00:00,990.11,-25.67,48.72
