,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
26,TC210803,Maho,0487,A,2,2108-10-05 18:00:00,946.47,-31.96,35.06,2108-10-05 18:00:00,2108-09-30 12:00:00,946.47,-31.96,35.06,2108-09-30 12:00:00,1009.31,-54.49,27.62,2108-10-12 06:00:00,987.11,-14.75,53.5,1009.31,-54.49,27.62,2108-10-11 06:00:00,1000.82,-36.27,46.14,2108-10-11 06:00:00,1000.82,-36.27,46.14
27,TC210805,Nicholas,0492,A,2,2108-10-23 00:00:00,977.04,-29.75,56.0,2108-10-20 06:00:00,2108-10-16 12:00:00,996.03,-37.01,37.68,2108-10-15 18:00:00,997.71,-48.08,37.89,2108-10-23 00:00:00,977.04,-29.75,56.0,1006.5,-45.41,30.77,2108-10-21 12:00:00,995.99,-31.45,42.91,2108-10-23 00:00:00,977.04,-29.75,56.0
28,TC210806,Queenie,0495,A,2,2108-11-10 18:00:00,957.55,-34.21,38.14,2108-11-10 18:00:00,2108-11-05 00:00:00,957.55,-34.21,38.14,2108-11-02 18:00:00,1007.77,-49.67,30.88,2108-11-13 00:00:00,998.03,1.75,47.25,1001.41,-38.37,26.44,2108-11-11 06:00:00,966.57,-31.84,44.42,2108-11-12 00:00:00,978.85,-22.88,49.5
29,TC210808,Samson,0502,A,1,2108-12-12 12:00:00,963.77,-58.92,34.77,2108-12-12 12:00:00,2108-12-09 12:00:00,963.77,-58.92,34.77,2108-12-09 12:00:00,1003.81,-73.95,27.74,2108-12-15 12:00:00,992.61,-46.75,38.73,1003.81,-73.95,27.74,2108-12-15 00:00:00,991.67,-49.47,35.97,,,,
30,TC210901,Tiffany,0509,A,0,2109-02-19 18:00:00,959.78,-26.92,49.0,2109-02-19 18:00:00,2109-02-17 00:00:00,959.78,-26.92,49.0,2109-02-15 00:00:00,1007.38,-44.18,28.68,2109-02-20 18:00:00,965.81,-14.73,51.73,976.78,-32.27,35.18,,,,,,,,
31,TC210905,William,0535,A,2,2109-10-02 12:00:00,913.84,-65.84,28.28,2109-10-02 12:00:00,2109-09-25 06:00:00,913.84,-65.84,28.28,2109-09-25 06:00:00,1007.13,-29.45,12.77,2109-10-06 18:00:00,981.92,-44.07,54.6,1007.13,-29.45,12.77,2109-10-03 12:00:00,925.56,-61.0,34.16,2109-10-06 06:00:00,966.15,-46.58,50.39
32,TC210908,Andy,0541,A,2,2109-11-13 12:00:00,983.91,-15.5,41.75,2109-11-08 06:00:00,2109-11-08 00:00:00,990.32,-26.46,40.73,2109-11-06 12:00:00,1004.59,-22.32,39.52,2109-11-13 12:00:00,983.91,-15.5,41.75,990.84,-26.96,40.85,2109-11-11 12:00:00,991.73,-33.07,37.15,2109-11-13 00:00:00,987.3,-21.71,40.19
33,TC211001,Bonnie,0573,A,2,2110-08-27 00:00:00,920.65,-67.41,30.05,2110-08-27 00:00:00,2110-08-18 06:00:00,920.65,-67.41,30.05,2110-08-18 06:00:00,1007.4,-31.22,15.15,2110-09-02 00:00:00,995.8,-7.25,54.0,1007.4,-31.22,15.15,2110-08-30 12:00:00,938.26,-56.41,43.25,2110-08-31 12:00:00,977.4,-38.13,47.96
34,TC211003,Charlie,0578,A,1,2110-09-26 18:00:00,987.95,-66.53,37.79,2110-09-26 18:00:00,2110-09-23 12:00:00,987.95,-66.53,37.79,2110-09-23 12:00:00,1011.55,-77.17,31.14,2110-09-28 12:00:00,1012.07,-51.5,42.0,1011.55,-77.17,31.14,2110-09-27 00:00:00,989.1,-64.44,38.22,,,,
35,TC211004,Demi,0587,A,2,2110-11-10 00:00:00,988.23,-75.13,33.26,2110-11-10 00:00:00,2110-11-07 18:00:00,988.23,-75.13,33.26,2110-11-07 18:00:00,1005.34,-78.07,29.78,2110-11-14 12:00:00,1011.48,-55.5,33.75,1005.34,-78.07,29.78,2110-11-13 18:00:00,1008.17,-59.5,35.0,2110-11-14 12:00:00,1011.48,-55.5,33.75
